,Unnamed: 0,date,qdpj,meidi,xpp,hksw,hryy,Rqdpj,Rmeidi,Rxpp,Rhksw,Rhryy
53,53,20210210,95.78,107.11,22.1,15.85,109.2,-0.013275449062606803,0.04986440354785948,-0.010353457328359461,0.02685583394822011,-0.00493286832002493
54,54,20210209,97.06,101.9,22.33,15.43,109.74,0.030121499161661625,0.05279227381174145,0.006289328907564062,0.017653286160843606,0.032036810739216826
55,55,20210208,94.18,96.66,22.19,15.16,106.28,-0.0371030470266005,-0.0060853160816183305,0.026948422254382987,-0.0032927260569759476,-0.009551528745039839
56,56,20210205,97.74,97.25,21.6,15.21,107.3,0.028118260618785307,0.008778780882056303,-0.04481401578979227,-0.011114857806296286,0.04284329661558761
57,57,20210204,95.03,96.4,22.59,15.38,102.8,-0.020518347280159333,-0.012781043908259626,0.00889289986924835,0.0006504065269936632,-0.021174997136458096
58,58,20210203,97.0,97.64,22.39,15.37,105.0,0.0010314596066622883,-0.009581155752472093,-0.004011594414826902,-0.02378768543875287,-0.009478743954543845
59,59,20210202,96.9,98.58,22.48,15.74,106.0,0.024973869889755917,0.0038621859168115336,0.025682871418115205,-0.015758283856605715,0.0330886095936771
60,60,20210201,94.51,98.2,21.91,15.99,102.55,0.06243161796272911,0.019226418590887917,0.09521890145092282,0.007532992307545339,-0.011730055489798552
61,61,20210129,88.79,96.33,19.92,15.87,103.76,0.003045515861386683,0.012220111334775297,0.09525998026113003,-0.02979736280494505,-0.008636460935873558
62,62,20210128,88.52,95.16,18.11,16.35,104.66,-0.04754134822899214,-0.0288974589557931,-0.010983086791096941,-0.05474299481532441,-0.018554110450552663
63,63,20210127,92.83,97.95,18.31,17.27,106.62,-0.035243607375056385,0.00010209811637817978,-0.018934836732778848,0.004061508339179731,-0.0035577230672911853
64,64,20210126,96.16,97.94,18.66,17.2,107.0,-0.008697507716485475,-0.04042166935283831,0.008611463334919023,-0.05761050801240497,-0.04074722536997211
65,65,20210125,97.0,101.98,18.5,18.22,111.45,0.03739145942346589,0.013922713170621215,-0.012355784371718137,-0.03293145083724891,-0.010265655873712198
66,66,20210122,93.44,100.57,18.73,18.83,112.6,0.029982693440588903,0.004684316135214139,-0.014838640044340767,0.046747641873593704,0.04032256330652206
67,67,20210121,90.68,100.1,19.01,17.97,108.15,0.00011028398136314621,0.03890907340630356,-0.007859616042376505,0.050210203667968134,0.02036311721232309
68,68,20210120,90.67,96.28,19.16,17.09,105.97,0.02988972717975802,0.014963916533847765,-0.027286120108319878,0.0011709603211502717,0.009671988920103125
69,69,20210119,88.0,94.85,19.69,17.07,104.95,-0.043908136572123446,-0.044034540939863476,0.03461983553378989,-0.009909728429197795,-0.02707186662733907
70,70,20210118,91.95,99.12,19.02,17.24,107.83,-0.012751415483235995,-0.005734133713725775,0.01857309956361286,0.0005802146957085696,-0.018377802906274
71,71,20210115,93.13,99.69,18.67,17.23,109.83,-0.04040528578288871,0.0009032064440601673,0.02220508238680896,0.01343870648362211,-0.0031816762443153124
72,72,20210114,96.97,99.6,18.26,17.0,110.18,-0.03575607518267532,-0.03686235826848616,-0.021669320252375446,-0.0226819843099757,-0.021459858322142367
73,73,20210113,100.5,103.34,18.66,17.39,112.57,-0.03883793802899049,-0.007327452761884956,-0.03372290049164173,0.00634556499028216,-0.01350000650131733
74,74,20210112,104.48,104.1,19.3,17.28,114.1,-0.0001914058767447102,0.03023145877966371,-0.017972242404430627,0.07571182173569646,0.024845998586530804
75,75,20210111,104.5,101.0,19.65,16.02,111.3,-0.01895791374461453,-0.019705554054342045,-0.04380989271557212,0.0,-0.017103570327014594
76,76,20210108,106.5,103.01,20.53,16.02,113.22,-0.02878362607815177,-0.01741852247841802,-0.0014602095561220274,0.01954048937268338,-0.015599299754736506
77,77,20210107,109.61,104.82,20.56,15.71,115.0,0.006039549837002944,0.03752019458111722,-0.03442022388647903,-0.03133088348005497,0.011192841580450974
78,78,20210106,108.95,100.96,21.28,16.21,113.72,0.00875783426640897,-0.005728410726345778,-0.02917548913393153,0.01742421182562781,0.004318138456850917
79,79,20210105,108.0,101.54,21.91,15.93,113.23,0.05246356953574072,0.025231954384825173,0.03530324811508834,0.007561472700576388,0.018090766509466505
80,80,20210104,102.48,99.01,21.15,15.81,111.2,0.030515543925950794,0.005773629611567799,0.0004729250501949167,0.0249772830861974,-0.002335400324908754
81,81,20201231,99.4,98.44,21.14,15.42,111.46,-0.002612279190730149,0.025307389092755983,-0.0075400922732877795,-0.08332972691875362,-0.011063638904340145
82,82,20201230,99.66,95.98,21.3,16.76,112.7,0.005433155532371892,0.008264942166885447,0.0028208763416417426,0.0,0.04000895629962997
83,83,20201229,99.12,95.19,21.24,16.76,108.28,0.010343870749569106,-0.006387790713600516,0.00424629088145112,0.0017915800552041894,-0.024809736566233198
84,84,20201228,98.1,95.8,21.15,16.73,111.0,0.0010198879007452533,0.023445999538743933,-0.0009451796544870383,-0.012474174225175716,-0.035488879792156425
85,85,20201225,98.0,93.58,21.17,16.94,115.01,0.0008166599065564384,0.007400688038640801,-0.03618205437440647,-0.005885832177261019,0.055507746682647685
86,86,20201224,97.92,92.89,21.95,17.04,108.8,-0.019017364553402416,0.009627420350389215,-0.027411287108678017,-0.026065767629340986,0.02607224030977573
87,87,20201223,99.8,92.0,22.56,17.49,106.0,-0.00798407434822046,0.024760549680651778,-0.024519617174318498,-0.028186758931931344,-0.0018850146957714031
88,88,20201222,100.6,89.75,23.12,17.99,106.2,0.007783693624175747,0.010528771097975564,0.0017316021642779234,0.02647296245419639,-0.015509981101242687
89,89,20201221,99.82,88.81,23.08,17.52,107.86,-0.011751952799796683,-0.0055022316120405534,-0.0012989826463907228,0.005724114083888399,0.020607698172911526
90,90,20201218,101.0,89.3,23.11,17.42,105.66,-0.028308381263921767,-0.004134777081502783,-0.008187936285365183,-0.016510480370385494,0.0045532235749714545
91,91,20201217,103.9,89.67,23.3,17.71,105.18,-0.02986711693051003,0.017663732021822476,-0.026261568510776545,0.018234123428550575,0.08085910218800585
92,92,20201216,107.05,88.1,23.92,17.39,97.01,0.0026190268454806542,0.027269710251469625,0.06654722619865217,0.010985944546784587,-0.00010307684387811378
93,93,20201215,106.77,85.73,22.38,17.2,97.02,-0.006999888584628522,0.015161599710544316,-0.0049030630874451475,0.0,0.07388599657012396
